"humidity","location","pressure","temperature"
"100","HurzufUA","1012.1","296.698"
"87","NovinkiRU","1027.42","295.798"
"100","HolubynkaUA","1012.1","296.698"
"87","Mar’ina RoshchaRU","1027.42","295.798"
"64","LaspiUA","852.33","278.448"
"63","VinogradovoRU","845.12","289.398"
"93","Qarah Gawl al ‘UlyāIQ","1019","292.15"
"63","CherkizovoRU","845.12","289.398"
"87","Zavety Il’ichaRU","1027.42","295.798"
"93","‘AzriqamIL","1019","292.15"
"63","TyuzlerUA","845.12","289.398"
"63","Zaponor’yeRU","845.12","289.398"
"100","Il’ichëvkaUA","1012.1","296.698"
"98","Partyzans’keUA","1031.71","296.948"
"100","YurevichiRU","1012.1","296.698"
"82","Gumist’aGE","834.25","275.898"
"100","PtitsefabrikaGE","1012.1","296.698"
"100","OrekhovoGE","1012.1","296.698"
"63","DzhagaRU","845.12","289.398"
"63","Tret’ya RotaRU","845.12","289.398"
"98","MkuzeZA","1031.71","296.948"
"100","İstanbulTR","1012.1","296.698"
"87","VavibetRU","1027.42","295.798"
"81","Rīgas RajonsLV","1019.15","304.898"
"63","Verkhneye ShchekotikhinoRU","845.12","289.398"
"100","BuchaUA","1012.1","296.698"
"81","Republic of PolandPL","1019.15","304.898"
